Segmento	CNPJ	Nome
S1	0	BANCO DO BRASIL - PRUDENCIAL
S1	60746948	BRADESCO - PRUDENCIAL
S1	30306294	BTG PACTUAL - PRUDENCIAL
S1	360305	CAIXA ECONOMICA FEDERAL - PRUDENCIAL
S1	60872504	ITAU - PRUDENCIAL
S1	90400888	SANTANDER - PRUDENCIAL
S2	92702067	BANRISUL - PRUDENCIAL
S2	7237373	BANCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL
S2	33657248	BNDES - PRUDENCIAL
S2	33479023	CITIBANK - PRUDENCIAL
S2	33987793	CREDIT SUISSE - PRUDENCIAL
S2	58160789	SAFRA - PRUDENCIAL
S2	59588111	VOTORANTIM - PRUDENCIAL
S3	28195667	ABC-BRASIL - PRUDENCIAL
S3	60770336	ALFA - PRUDENCIAL
S3	655522	APE POUPEX
S3	2992446	BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL
S3	2038232	BANCOOB - PRUDENCIAL
S3	28127603	BANESTES - PRUDENCIAL
S3	31597552	BANCO CLASSICO S.A. - PRUDENCIAL
S3	8357240	BANCO CSF S.A. - PRUDENCIAL
S3	4902979	BANCO DA AMAZONIA S.A. - PRUDENCIAL
S3	62232889	BANCO DAYCOVAL S.A - PRUDENCIAL
S3	38486817	BANCO DES. DE MG S.A. - PRUDENCIAL
S3	58616418	BANCO FIBRA S.A. - PRUDENCIAL
S3	1023570	BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL
S3	60518222	BANCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL
S3	60498557	BANCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL
S3	92816560	BD REGIONAL DO EXTREMO SUL - PRUDENCIAL
S3	61186680	BMG - PRUDENCIAL
S3	1522368	BNP PARIBAS - PRUDENCIAL
S3	62073200	BOFA MERRILL LYNCH - PRUDENCIAL
S3	208	BRB - PRUDENCIAL
S3	7450604	CCB - PRUDENCIAL
S3	87437687	COOPERATIVA CENTRAL DE CREDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL
S3	80230774	COOPERATIVA CENTRAL DE CREDITO E INVESTIMENTO DOS ESTADOS DO PARANA, SAO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ
S3	75647891	CREDIT AGRICOLE - PRUDENCIAL
S3	62331228	DEUTSCHE - PRUDENCIAL
S3	59274605	GMAC - PRUDENCIAL
S3	4332281	GOLDMAN SACHS - PRUDENCIAL
S3	34111187	HAITONG - PRUDENCIAL
S3	49336860	ING - PRUDENCIAL
S3	33172537	JP MORGAN CHASE - PRUDENCIAL
S3	17184037	MERCANTIL DO BRASIL - PRUDENCIAL
S3	60814191	MERCEDES-BENZ - PRUDENCIAL
S3	2801938	MORGAN STANLEY - PRUDENCIAL
