;nome;total_reclamacoes;indice;total_clientes;satisfacao_geral;satisfacao_remuneracao_beneficios;segmento
0;ABC-BRASIL;59;0.0;25471.43;;;S3
1;ABN AMRO;1;0.0;0.0;;;
2;ACESSO SOLUÇÕES DE PAGAMENTO S.A.;358;16.27;3125360.0;;;
3;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;179;15.52;5538591.0;;;
4;ACG INSTITUIÇÃO DE PAGAMENTO S.A.;2;0.0;51711.0;;;
5;AFINZ;62;0.0;483968.0;;;
6;AGIBANK;3377;96.97;1023671.86;;;
7;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;47;0.0;293627.14;;;
8;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;52;0.0;16186.71;;;
9;ALFA;480;0.0;245396.86;3.5;3.8;S3
10;AME DIGITAL BRASIL INSTITUICAO DE PAGAMENTO LTDA;219;0.64;15550813.0;;;
11;ANDBANK;28;0.0;6321.29;;;S4
12;ASAAS;62;0.0;0.0;;;
13;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;75;0.0;316875.67;;;
14;BANCO ABN AMRO S.A.;7;0.0;6.5;;;S4
15;BANCO ARBI S.A.;104;0.0;37320.14;;;S4
16;BANCO B3 S.A.;10;0.0;976.67;;;
17;BANCO CAPITAL S.A.;1;0.0;0.0;;;S4
18;BANCO CATERPILLAR S.A.;1;0.0;3325.0;;;S4
19;BANCO CEDULA S.A.;7;0.0;13510.5;;;S4
20;BANCO CNH INDUSTRIAL CAPITAL S.A.;19;0.0;16617.71;;;
21;BANCO CSF S.A.;1751;15.22;4366262.29;;;S3
22;BANCO DA AMAZONIA S.A.;97;0.0;316412.43;;;S3
23;BANCO DA CHINA BRASIL S.A.;3;0.0;176.0;;;S4
24;BANCO DE LA NACION ARGENTINA;3;0.0;133.5;;;
25;BANCO DE LAGE LANDEN BRASIL S.A.;4;0.0;17525.5;;;S4
26;BANCO DIGIMAIS S.A.;1457;379.05;203330.0;;;
27;BANCO DIGIO S.A.;850;35.72;493285.5;;;
28;BANCO DO ESTADO DE SERGIPE S.A.;571;23.52;596297.14;;;
29;BANCO DO ESTADO DO PARÁ S.A.;517;35.2;552977.43;;;
30;BANCO DO NORDESTE DO BRASIL S.A.;490;0.0;5246585.0;4.5;4.2;S2
31;BANCO FATOR S.A.;1;0.0;13172.0;;;
32;BANCO FIBRA S.A.;17;0.0;81940.83;4.3;4.2;S3
33;BANCO FIDIS S/A;16;0.0;223.0;;;
34;BANCO FORD S.A.;2;0.0;0.0;;;S4
35;BANCO GUANABARA S.A.;1;0.0;2296.0;;;S4
36;BANCO HSBC S.A.;32;0.0;2954.8;;;
37;BANCO INBURSA S.A.;138;0.0;15283.57;;;
38;BANCO INDUSCRED DE INVESTIMENTO S.A.;1;0.0;104.0;;;
39;BANCO JOHN DEERE S.A.;5;0.0;6848.0;;;
40;BANCO KOMATSU DO BRASIL S.A.;1;0.0;726.0;;;
41;BANCO LUSO BRASILEIRO S.A.;3;0.0;3196.33;;;S4
42;BANCO MIZUHO DO BRASIL S.A.;3;0.0;1249.0;;;
43;BANCO MONEO S.A.;1;0.0;1135.0;;;S4
44;BANCO OURINVEST S.A.;57;0.0;112145.0;;;
45;BANCO PAULISTA S.A.;55;0.0;31435.86;;;
46;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;4;0.0;3883.5;;;
47;BANCO RIBEIRAO PRETO S.A.;4;0.0;4401.0;;;
48;BANCO RNX S.A.;2;0.0;2356.5;;;
49;BANCO SEMEAR S.A.;57;0.0;175352.14;;;
50;BANCO SENFF S.A.;53;0.0;39617.5;;;
51;BANCO SICOOB;582;4.32;3771590.67;;;
52;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;2;0.0;590.0;;;
53;BANCO TOPÁZIO S.A.;83;0.0;7928.43;;;
54;BANCO TOYOTA DO BRASIL S.A.;22;0.0;0.0;;;S4
55;BANCO TOYOTA DO BRASIL S.A.;22;0.0;153673.5;;;S4
56;BANCO TOYOTA DO BRASIL S.A.;22;0.0;0.0;;;S4
57;BANCO TOYOTA DO BRASIL S.A.;22;0.0;153673.5;;;S4
58;BANCO TOYOTA DO BRASIL S.A.;64;0.0;0.0;;;S4
59;BANCO TOYOTA DO BRASIL S.A.;64;0.0;153673.5;;;S4
60;BANCO TOYOTA DO BRASIL S.A.;64;0.0;0.0;;;S4
61;BANCO TOYOTA DO BRASIL S.A.;64;0.0;153673.5;;;S4
62;BANCO TRIANGULO S.A.;244;0.0;1057266.43;;;S4
63;BANCO TRICURY S.A.;3;0.0;486.0;;;S4
64;BANCOOB;68;0.0;0.0;;;S3
65;BANESTES;443;3.64;794308.14;;;S3
66;BANRISUL;3689;21.58;2939499.0;4.2;4.1;S2
67;BARIGUI;540;32.15;181432.29;;;S4
68;BB;33737;15.24;41688746.14;;;
69;BBC;20;0.0;5929.0;;;
70;BBVA BRASIL BANCO DE INVESTIMENTO S.A.;1;0.0;0.0;;;
71;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;3;0.0;114876.0;;;
72;BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;5;0.0;9076.75;;;
73;BMG;12161;84.22;6184645.86;4.1;4.2;S3
74;BMW;15;0.0;20438.83;;;S4
75;BNP PARIBAS;4624;112.77;1195729.57;3.8;3.4;S3
76;BNQI - FINANCEIRO;320;0.0;0.0;;;
77;BNY MELLON;1;0.0;0.0;;;S4
78;BOCOM;1;0.0;8804.0;;;
79;BOFA MERRILL LYNCH;7;0.0;2878.8;3.8;3.8;S3
80;BPP INSTITUIÇÃO DE PAGAMENTO S.A.;118;17.62;1927274.5;;;
81;BRADESCO;60835;25.93;58155962.86;4.2;4.3;S1
82;BRB;4697;67.31;2775565.86;;;S3
83;BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;4;0.0;16238.33;;;
84;BTG PACTUAL;133;0.0;0.0;4.0;4.4;S1
85;BTG PACTUAL/BANCO PAN;18466;75.47;13075432.33;;;
86;C6 BANK;28704;261.47;10577109.43;;;
87;CAIXA ECONÔMICA FEDERAL;74106;21.54;83803713.29;;;
88;CAIXA GERAL;7;0.0;994.0;;;S4
89;CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11;0.0;116019.67;;;
90;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;49;0.0;33967.0;;;
91;CCB;772;0.0;98789.14;;;S3
92;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;74;0.0;0.0;;;
93;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;2;0.0;110491.5;;;
94;CIELO S.A.;171;0.0;134816.0;;;
95;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;155;0.0;204066.0;;;
96;CITIBANK;97;0.0;10574.0;3.9;3.8;S2
97;CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA;30;0.0;0.0;;;
98;COBUCCIO;201;0.0;188201.25;;;
99;COLOMBO;44;0.0;196258.29;;;
